timeOpen,open,high,low,close,volume,marketCap
2024-04-24T00:00:00.000Z,66408.7220661493,67075.3696458104,63589.8719293202,64276.8974153965,30276655120.02,1265561280453.39
2024-04-25T00:00:00.000Z,64275.0210186857,65275.2075178735,62783.6332731569,64481.7066444767,32155786816.01,1269733248757.26
2024-04-26T00:00:00.000Z,64485.3699318773,64789.6575058214,63322.3996366721,63755.3213316848,24139372950.15,1255299007879.53
2024-04-27T00:00:00.000Z,63750.9901461159,63898.3615918925,62424.7206816789,63419.141196433,19530783038.96,1248878755079.36
2024-04-28T00:00:00.000Z,63423.5139265635,64321.482807962,62793.5987661365,63113.2316825626,17334827992.62,1242661116273.87
2024-04-29T00:00:00.000Z,63106.3642006694,64174.8777212994,61795.4572006942,63841.1201641904,26635912073.23,1257121259561.43
2024-04-30T00:00:00.000Z,63839.419865918,64703.332363219,59120.0680465683,60636.8567800147,37840840057.21,1193544962108.24
2024-05-01T00:00:00.000Z,60609.4979456889,60780.4996773697,56555.2940546252,58254.0098531432,48439780271.06,1147184157457.92
2024-05-02T00:00:00.000Z,58253.7047001798,59602.2980278408,56937.2041675081,59123.432246675,32711813559.09,1164330817512.3
2024-05-03T00:00:00.000Z,59122.3008516113,63320.5033894935,58848.3120591606,62889.8367440854,33172023048.2,1238554321094.73
2024-05-04T00:00:00.000Z,62891.0305478435,64494.9584257589,62599.3531468395,63891.4729184709,20620477991.84,1258304781123.06
2024-05-05T00:00:00.000Z,63892.4549874494,64610.8902147328,62955.3064762918,64031.1328085695,18296164805.46,1261203911121.78
2024-05-06T00:00:00.000Z,64038.3135554184,65494.9017248,62746.2384545471,63161.9502576304,28697928697.49,1243984877329.17
2024-05-07T00:00:00.000Z,63162.7633988645,64390.4567414101,62285.9791810284,62334.8183461472,25930730981.56,1227659657662.19
2024-05-08T00:00:00.000Z,62332.6425081457,62986.0842424385,60877.1275241843,61187.9414007209,26088172222.01,1205202182090.81
2024-05-09T00:00:00.000Z,61191.2005309392,63404.9153005351,60648.0754241275,63049.9592572275,25453338160.85,1241942293192.66
2024-05-10T00:00:00.000Z,63055.1909954148,63446.742514866,60208.7815474421,60792.7767905692,27804954694.22,1197421098168.55
2024-05-11T00:00:00.000Z,60793.3570069146,61451.153731082,60492.6253742997,60793.7095993966,13842272967.56,1197453013828.78
2024-05-12T00:00:00.000Z,60793.5020253167,61818.1548827464,60632.6024448204,61448.3946717975,13800459404.7,1210435745366.84
2024-05-13T00:00:00.000Z,61451.2185129853,63422.6603802151,60769.8406689419,62901.4474552226,27889181179.46,1239017433570.39
2024-05-14T00:00:00.000Z,62900.7740072673,63092.1251610829,61123.7665334497,61552.7901353372,28186271527.17,1212512959206.07
2024-05-15T00:00:00.000Z,61553.9898466732,66454.4499651706,61330.4087797256,66267.4914674742,39815167073.5,1305166889303.51
2024-05-16T00:00:00.000Z,66256.1118170564,66712.4293791061,64613.0560461696,65231.5803133093,31573077993.8,1285007856222.27
2024-05-17T00:00:00.000Z,65231.298680324,67459.459501861,65119.3149767952,67051.8749127217,28031279309.72,1321187121526.77
